token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000004113,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,154,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000070441,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,156,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000029328,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,158,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000040643,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,160,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000065983,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,162,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000064984,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,164,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000093638,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,166,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000004915,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,168,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000021804,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,170,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000050548,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,172,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000054465,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,174,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000030711,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,176,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000060710,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,178,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000080954,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,180,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000014664,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,182,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000022751,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,184,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000020595,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,186,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000009281,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,188,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000077524,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,190,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000088452,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,192,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000038502,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,194,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000086575,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,196,40645024
