transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0xfceb35e44000e45f8370cbda13c7f7efec5d6f15f0816285c3749580d5cae554,56,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,14967400,500269,,,1,9894280658,,,,
0x542fc1abceef9a0bf479be7a89aa41acc7ef8cbadc01e06c9d213ed80dc6d33e,57,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,15060333,92933,,,1,9894280658,,,,
0x00a0c621e78861624196589bbcee10c765fc59dd7280e7cf21cf6cb2d0f9606e,58,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,15567257,506924,,,1,9894280658,,,,
0xaaebe602c51ad02b65e59f0434715bf40ee646e10ae44c56daeaf9bd1691ddd0,59,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,15613549,46292,,,1,9894280658,,,,
0x29f1a4264b9d31af7cebd56ded30db01a210125f4b4ee768f297df0db742c019,60,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16127018,513469,,,1,9894280658,,,,
0xc8436c45ebe32ac8addad61f31d95cc6de3e8fc94e015925d1d907566c0d6627,61,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16175842,48824,,,1,9894280658,,,,
0x564a57985af362ab4d84d85eec35ad92d9e376bf798a7047465528b2d3f98bcd,62,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16222122,46280,,,1,9894280658,,,,
0xf98fc3a8d68fa76395202ac522f52268f2a04f79beff789414e922ccea3cc6ee,63,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16270946,48824,,,1,9894280658,,,,
0x12add3595faf702b3f890bbab2bbb07cee0c1ad20ae2039b215161ad8f7b45ff,64,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16786258,515312,,,1,9894280658,,,,
0xe4c35672f4002fb836f0aaad19f7eae67b1bedfedaaa2429b07028cb946b8cf8,65,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16835082,48824,,,1,9894280658,,,,
